,blue,green,red,label
1255,68,84,148,red
1256,68,84,148,red
1257,68,84,148,red
1258,68,84,148,red
1259,68,84,148,red
1260,68,84,148,red
1261,68,84,148,red
1262,68,84,148,red
1263,68,84,148,red
1264,68,84,148,red
1265,68,84,148,red
1266,68,84,148,red
1267,68,84,148,red
1268,68,84,148,red
1269,68,84,148,red
1270,68,84,148,red
1271,68,84,148,red
1272,68,84,148,red
1273,68,84,148,red
1274,68,84,148,red
1275,68,84,148,red
1276,68,84,148,red
1277,68,84,148,red
1278,68,84,148,red
1279,68,84,148,red
1280,68,84,148,red
1281,68,84,148,red
1282,68,84,148,red
1283,68,84,148,red
1284,68,84,148,red
1285,68,84,148,red
1286,68,84,148,red
1287,68,84,148,red
1288,68,84,148,red
1289,68,84,148,red
1290,68,84,148,red
1291,68,84,148,red
1292,68,84,148,red
1293,68,84,148,red
1294,68,84,148,red
1295,68,84,148,red
1296,68,84,148,red
1297,68,84,148,red
1298,68,84,148,red
1299,68,84,148,red
1300,68,84,148,red
1301,68,84,148,red
1302,68,84,148,red
1303,68,84,148,red
1304,68,84,148,red
1305,68,84,148,red
1306,68,84,148,red
1307,68,84,148,red
1308,68,84,148,red
1309,68,84,148,red
1310,68,84,148,red
1311,68,84,148,red
1312,68,84,148,red
1313,68,84,148,red
1314,68,84,148,red
1315,68,84,148,red
1316,68,84,148,red
1317,68,84,148,red
1318,68,84,148,red
1319,68,84,148,red
1320,68,84,148,red
1321,68,84,148,red
1322,68,84,148,red
1323,68,84,148,red
1324,68,84,148,red
1325,68,84,148,red
1326,68,84,148,red
1327,68,84,148,red
1328,68,84,148,red
1329,68,84,148,red
1330,68,84,148,red
1331,68,84,148,red
1332,68,84,148,red
1333,68,84,148,red
1334,68,84,148,red
1335,68,84,148,red
1336,68,84,148,red
1337,68,84,148,red
1338,68,84,148,red
1339,68,84,148,red
1340,68,84,148,red
1341,68,84,148,red
1342,68,84,148,red
1343,68,84,148,red
1344,68,84,148,red
1345,68,84,148,red
1346,68,84,148,red
1347,68,84,148,red
1348,68,84,148,red
1349,68,84,148,red
1350,68,84,148,red
1351,68,84,148,red
1352,68,84,148,red
1353,68,84,148,red
1354,68,84,148,red
1355,68,84,148,red
1356,68,84,148,red
1357,68,84,148,red
1358,68,84,148,red
